               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  60,              3.2834,              1.9054,              1.3631,             0.80011,             0.48527,             0.46627,             0.10228,                   0,                   0,                   0,           0.0016557,           0.0016557,           0.0016557
                  61,              3.3292,              1.8837,              1.3709,             0.77222,             0.46485,             0.43696,            0.086657,                   0,                   0,                   0,           0.0015143,           0.0015143,           0.0015143
                  62,              3.2936,              1.9112,              1.3587,             0.79911,             0.50215,             0.45711,             0.10357,                   0,                   0,                   0,           0.0013729,           0.0013729,           0.0013729
                  63,              3.2322,              1.8198,              1.3669,             0.80153,             0.49857,             0.44956,            0.095839,                   0,                   0,                   0,           0.0012314,           0.0012314,           0.0012314
                  64,              3.2068,              1.8338,              1.3474,              0.7944,             0.49615,             0.45386,            0.096559,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  65,              3.2548,               1.908,              1.3677,             0.80033,             0.51468,             0.45767,            0.098906,                   0,                   0,                   0,          0.00094857,          0.00094857,          0.00094857
                  66,              3.2289,              1.9015,              1.3723,             0.79548,             0.49283,             0.44491,            0.093423,                   0,                   0,                   0,          0.00080714,          0.00080714,          0.00080714
                  67,              3.2404,              1.8348,              1.3493,             0.81235,             0.49998,             0.45929,            0.098078,                   0,                   0,                   0,          0.00066571,          0.00066571,          0.00066571
                  68,              3.2741,              1.9048,              1.3608,             0.83384,             0.51478,             0.48539,             0.10633,                   0,                   0,                   0,          0.00052429,          0.00052429,          0.00052429
                  69,              3.2572,              1.8442,              1.3488,             0.81276,             0.50717,             0.46304,            0.095384,                   0,                   0,                   0,          0.00038286,          0.00038286,          0.00038286
